コード,発行済株式数
6191,22772065
6193,3009553
6194,22315341
6195,16465800
6196,57609000
6197,94741793
6198,8624320
6199,13710000
6200,85243000
6201,325840640
6203,12548134
6208,6385972
6209,28247910
6217,6807555
6218,6353454
6222,34800000
6223,20500000
6224,13128520
6226,35371600
6227,18849000
6228,13470000
6229,4562200
6230,4578000
6231,3849000
6232,19472474
6233,5391000
6235,44358000
6237,22490910
6238,28296000
6239,7078400
6240,69938478
6245,15394379
6246,12401720
6247,28732800
6248,1873500
6249,14681400
6250,44108428
6254,40608000
6255,22052426
6257,22895500
6258,32268270
6262,24828600
6264,28106000
6265,1657000
6266,14842354
6267,1798800
6268,118064699
6269,68345300
6272,28392000
6273,63869359
6276,5722500
6277,15730538
6278,19780000
6279,28800000
6282,33300505
6284,14991108
6286,6483323
6287,33635942
6289,27074728
6291,10538420
6292,7210000
6294,8378700
